wallet_address,total_pnl_usd,winrate,total_trades,roi_percentage,avg_trade_size,total_volume,consistency_score,token_metrics,risk_metrics,last_updated
4eMvDeoK77xyQLy9wUwPjRwpbVi8Pvhe3sWccggMuSbg,1056.2754,69.23077,52,34.275063,22.6598,5431.64,0,[],{},2024-11-22 15:06:29.000000
AnEuVAAruNgpAUseAZsKDMscaJfCkq4apj1VDjCemfgS,11671.974,81.25,64,41.423107,244.5227,60776.33,0,[],{},2024-11-22 15:12:13.000000
CsYzvmaYntkLNtDJbqRUfNNio3dKS1TosoxavySeLCDH,7388.6777,78.43137,51,57.717827,124.7099,32341.74,0,[],{},2024-11-22 15:12:36.000000
3wsFxkueqNxECXwq4Tu23judonskYKzHEuR5AzqZo3ZV,1338.2609,65.625,32,28.827389,58.584217,8579.68,0,[],{},2024-11-22 15:24:24.000000
4u4jPSTX4TZ9x1DATkZnnroh2AFriqXQ4987cXhbAeKK,6769.179,81.48148,81,25.497828,190.7368,45043.12,0,[],{},2024-11-22 15:30:01.000000
GZwsgBM6JuTdM7Tm4GJfToyTpLme4dvZMDxDpVbtXqFG,45796.45,100.0,39,682.6347,86.00795,59213.63,0,[],{},2024-11-22 15:33:12.000000
71Czcv5pctqXtcTCmGBcisLx8CRKRNqaArsCpXRpwS76,45796.71,100.0,39,682.66516,86.004745,59213.38,0,[],{},2024-11-22 15:33:17.000000
4DX4VexKApXt9VjicufZJMutvmXDipRqPL5ULwzNSHQs,45793.99,100.0,39,682.598,86.00795,59211.17,0,[],{},2024-11-22 15:33:22.000000
2wzn1UdsgiDueUviW3EYaMguGCc5MTiGk2NrXqUdDJvd,286437.56,100.0,224,652.10266,108.5172,131297.23,0,[],{},2024-11-22 15:33:28.000000
C2ansgRax8yyHqff1d7RuAXAsC4F3hywehsENeb9jZdq,110599.59,100.0,224,120.26707,205.5019,81794.07,0,[],{},2024-11-22 15:33:29.000000
5yn4mmEBi8rY5qpZDbGc1RiT2nt8HTW7YPpooyAnDxqZ,5197.3564,89.89899,99,684.7392,131.6616,134881.97,0,[],{},2024-11-22 15:41:30.000000
4FLRfRhUgcpHNLSxuYNs7xTvVVvsEXQRGnRhR1qMBo1w,7959.908,94.680855,94,599.3857,143.4899,136210.97,0,[],{},2024-11-22 15:41:38.000000
C8uCFAY8WPwvEudVuQUW62rDHVAjQyVNxcdw5eMZW287,30631.36,88.13559,59,44.544666,558.0271,145913.83,0,[],{},2024-11-22 15:44:41.000000
G4fJ3FJFooSVK1njDUVxFuK4xdykaXpAiUj3izLcNSq2,4172.6094,80.0,55,27.047735,120.1645,28819.24,0,[],{},2024-11-22 15:49:06.000000
FQmzMVrBajRhzFfCQ5anQCDPx9WKoSAoRYuJUNMX7YzM,3306.5142,87.17949,39,40.957817,103.49744,19452.11,0,[],{},2024-11-22 15:49:14.000000
Apv72YApKKCLGyWWA5n6BXAY7AJmBUj4h7Lx7E3Xg4sM,29654.998,69.81132,53,86.61395,330.2803,97831.79,0,[],{},2024-11-22 15:52:27.000000
Hv2U56h86Epqp4NckXpeRXUTSUY7NMG4jGfdjfevvHFu,365.44565,65.85366,41,25.564356,81.21256,15021.37,0,[],{},2024-11-22 15:54:40.000000
7qQidjH5b6NkTjapUZ35Q9Zx7PuVb1oWi6De4zVbS9n6,3394.8728,62.5,32,33.92506,156.35625,23408.47,0,[],{},2024-11-22 16:06:04.000000
DBGfrWsquKLz1gUtLsKnoULtSsEZjA9Jx6E7wp4sqjVi,2787.5574,85.36585,82,863.6005,102.5986,122628.7,0,[],{},2024-11-22 16:15:38.000000
4s5xQfQTwBRX98GSYwuzqedFvpV7gvrxgG2CoMze4KsG,4203.5713,60.0,60,55.48255,65.292,17292.19,0,[],{},2024-11-22 16:16:47.000000
GRKpuGTmU2t1ZhpPLF162uY5JAZSrgPxxRBgbEiMiSN3,59802.08,69.172935,133,65.82639,467.2538,155019.45,0,[],{},2024-11-22 16:16:51.000000
7TWU1u6wfHiSebscpudMWy2yXkTTEnoqJRcWj1MKRSVV,4273.693,80.0,30,34.37276,207.22017,29140.1,0,[],{},2024-11-22 16:24:35.000000
7PwrrSXKZFzSN9nauJp2fzU4KevgiWGYwPWn6u7YRsF5,1448.9772,63.265305,49,38.373516,40.789898,9528.88,0,[],{},2024-11-22 16:27:46.000000
3qxLVDB8qXHcFuYX4guPR4Uq8twxMqCK65LQjk5zCyPN,5523.37,60.60606,33,137.54497,57.87318,12893.19,0,[],{},2024-11-22 16:31:08.000000
4Rfni4sFWiNK4hpjYKVMkunAzgCRyZRYdQrFuP3Vjmg5,4959.9907,67.60564,71,28.99994,107.6286,26543.97,0,[],{},2024-11-22 16:35:32.000000
89CrhiLDSB7MPYN7DpbcEMfQKXkc8XbUw4vc7axY52LU,869.37463,82.5,40,272.47632,3.479125,1315.52,0,[],{},2024-11-22 16:35:43.000000
F3YWW1Q2PJk9Nok8D5aYwSwteoa7VuGt4Dgr4N4vzm9g,490.1665,81.25,32,28.113361,27.240156,3976.96,0,[],{},2024-11-22 16:38:12.000000
GF6qD82J1kixZMVsfWEoSWC5VVX5no3VBsFHLX46eYDM,310.7303,60.526318,38,58.675488,62.201973,12228.66,0,[],{},2024-11-22 16:39:54.000000
6g5dKHruh4Hx4GWW8teWhXJEkYn2VnX7QNuSfp4s1Hsm,14562.211,63.095238,84,30.079138,280.3686,73387.43,0,[],{},2024-11-22 16:40:55.000000
D4kuPmMjneUrHCvX6ePjFoarASGTk2kP1MB1wjSGuhEm,4008.3237,90.38461,52,59.065506,59.4774,15544.33,0,[],{},2024-11-22 16:43:44.000000
3LRoC25nE3T4wgJ1XmL6m1QXc8qF9cPCpZP1qogxb7iu,18023.48,71.42857,63,42.26363,312.0181,82881.8,0,[],{},2024-11-22 16:44:28.000000
4ozRqanbrhm5wQ5bHcvVvKnuWsyNfGrjGHC8WWRsY7Fn,3321.7622,87.09677,31,38.782436,79.71113,11800.87,0,[],{},2024-11-22 16:49:09.000000
6va7zW7adsXZXa48wdE7oigC9JFcAY5ZZ4PivAvL6Jpw,2754.0085,66.40625,128,52.282936,18.5291,6948.13,0,[],{},2024-11-22 16:53:11.000000
GbNrjpaegbrkDW1ZSfPisUdeeTbeZSJkJLBdRnSnG8A9,2016.8993,78.57143,42,96.58069,21.048096,5243.85,0,[],{},2024-11-22 16:53:29.000000
6zTiYdEhM32jyM1VYgFW9eAt1Kqp8zJDmRojJ2N3ZU4D,1005.8116,66.666664,42,48.072903,20.93393,4362.33,0,[],{},2024-11-22 17:06:16.000000
AXAvbwuPDovDBAXxu4eBqoktRSJFfHLZq2c2C13BQmkt,2120.7227,66.666664,45,37.959587,62.99111,13490.54,0,[],{},2024-11-22 17:19:53.000000
ASxTKSm1i4b82ZqegydGTP6hLuEBWcZxnFu457bdqhR6,232.67741,80.0,35,26.717052,8.624429,1368.76,0,[],{},2024-11-22 17:22:35.000000
EG3XHuPnB68p4NaYcx794XKGdRk8rN2QUPgBvtcaVvpD,3349.7002,70.29703,101,32.97176,55.3848,14648.74,0,[],{},2024-11-22 17:24:42.000000
GXJH7JDT5SPYxGcyAqtfgeafBDZjCeQ7oTd1HQWgv3iG,619.68835,68.57143,35,50.722942,13.101571,2299.5,0,[],{},2024-11-22 17:36:51.000000
4kQs5hzkjgcYb6go1ZgATwtUwXDfZAz8R44HhoksSAfC,19983.01,75.0,64,30.505342,502.0672,123767.88,0,[],{},2024-11-22 17:46:33.000000
H3hY1g9h18ikYnxBiVGBQU88HJK5qBHp15K9PrTmzwA1,663.6981,70.0,40,28.49956,73.29813,13398.95,0,[],{},2024-11-22 17:53:49.000000
82X1GXXBgY1acBBX7L2LdSEje2pQRBpNQNicawEmCHDs,1938.776,90.625,32,102.304756,27.73953,5367.06,0,[],{},2024-11-22 17:53:50.000000
2wekhvcAcsbL5s179g5CXap2pnH63ojoSkQkLyxvFveB,9215.731,81.355934,59,50.641968,140.9692,37912.5,0,[],{},2024-11-22 18:01:52.000000
EnMPWh5NA19wFyHWDWcmz6hTa8RopzgjjnUZ9cstZoav,2533.4834,61.85567,97,33.104454,244.7609,57909.54,0,[],{},2024-11-22 18:04:03.000000
